t,x,y,z,yaw
0.5069823265075684,-0.009947511367499828,0.025663170963525772,0.004768393933773041,1.1877607107162476
1.0071020126342773,-0.01082700863480568,0.025759750977158546,0.0004543591057881713,0.4771839380264282
1.5071179866790771,-0.001997044775635004,0.039897043257951736,0.03917375206947327,-10.178683280944824
2.007136821746826,-0.008099053986370564,0.03773897513747215,0.08984562009572983,-12.096415519714355
2.5055017471313477,0.0040239556692540646,0.01692463457584381,0.18299539387226105,-19.941051483154297
3.0083725452423096,0.05329243466258049,-0.01639261282980442,0.3246680498123169,-23.05306053161621
3.5112669467926025,0.10081249475479126,-0.05818798765540123,0.465773344039917,-25.83147430419922
4.004507541656494,0.17256677150726318,-0.08185859769582748,0.5918142199516296,-40.94300842285156
4.504624605178833,0.2714797556400299,-0.12526291608810425,0.6024033427238464,-59.03001403808594
5.0042195320129395,0.4120032787322998,-0.1798187792301178,0.6341507434844971,-76.82473754882812
5.504119873046875,0.5109505653381348,-0.2969350516796112,0.6573184728622437,-89.02863311767578
6.004529237747192,0.49881741404533386,-0.4598270356655121,0.6728249788284302,-97.69490051269531
6.503528594970703,0.4958319365978241,-0.6056944131851196,0.6589515805244446,-111.66584777832031
7.003500699996948,0.4710657596588135,-0.749959409236908,0.6505251526832581,-127.2691650390625
7.5044450759887695,0.3704812228679657,-0.8420976996421814,0.6538934111595154,-141.06350708007812
8.00352692604065,0.21103592216968536,-0.944071888923645,0.6516221165657043,-158.21502685546875
8.502963781356812,0.07713060081005096,-0.9780586957931519,0.652847945690155,-170.59237670898438
9.00240969657898,-0.07319510728120804,-0.9793871641159058,0.6496785283088684,172.45692443847656
9.561023712158203,-0.19401824474334717,-0.9271501898765564,0.636505663394928,157.43045043945312
10.008540630340576,-0.30753570795059204,-0.8446543216705322,0.6167686581611633,147.57530212402344
10.502298593521118,-0.41741737723350525,-0.6690725088119507,0.6114315986633301,132.5330047607422
11.00082802772522,-0.47866585850715637,-0.5349909663200378,0.6072803139686584,117.79248046875
11.50156569480896,-0.5388308763504028,-0.3452777862548828,0.6113083362579346,96.62557220458984
12.000157117843628,-0.5116574764251709,-0.20667359232902527,0.6050353050231934,79.02789306640625
12.500535011291504,-0.4169181287288666,-0.054913800209760666,0.5931858420372009,64.0870590209961
12.999138116836548,-0.2696395814418793,0.06662385910749435,0.5725367069244385,47.99198913574219
13.499532222747803,-0.1358346790075302,0.10951800644397736,0.5009406805038452,28.375150680541992
13.998822212219238,-0.021740611642599106,0.09286176413297653,0.36021363735198975,15.18144702911377
14.498143434524536,0.003325818805024028,0.03342154622077942,0.18547558784484863,5.317237377166748
14.999947309494019,0.0018514185212552547,0.008556331507861614,0.08470669388771057,-0.054779451340436935
15.497863292694092,0.07610473036766052,0.09570978581905365,-0.047248829156160355,-109.76051330566406
