# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.099573,-0.009026,0.000000,0.000000,-0.034406,0.072085,-0.052325,0.015961,-0.001725,0.027545,0.000000,0.000000,-0.053779,0.103315,-0.066016,0.017371,-0.001639,0.006947,0.000000,0.000000,-0.077037,0.132034,-0.074555,0.018789,-0.001777,-1.922166,0.000000,0.000000,61.128544,-112.321387,71.809577,-19.560390,1.936550
3.099573,0.061960,0.135765,-0.012766,-0.234939,0.416805,-0.239868,0.057568,-0.005006,-0.024813,-0.064355,0.001604,-0.063589,0.115089,-0.075903,0.020022,-0.001848,0.347886,0.322811,0.032273,-0.152326,0.005218,0.051524,-0.020249,0.002285,-27.434996,-32.506175,30.738611,173.985219,-359.677214,239.648855,-66.988824,6.756724
3.099573,0.500773,-0.022605,0.027387,0.001623,-0.152117,0.109851,-0.028762,0.002634,-0.520976,-0.313474,0.056560,0.023932,-0.070528,0.051755,-0.014843,0.001506,0.669902,-0.040446,-0.045388,0.185410,-0.183752,0.082576,-0.017586,0.001436,-120.389757,-119.912166,126.609907,669.607558,-1242.540886,764.765892,-197.551523,18.408619
3.099573,-0.135566,-0.248800,-0.009130,0.049517,-0.042745,0.021867,-0.004937,0.000415,-0.963520,0.078291,0.120983,0.145757,-0.217832,0.113972,-0.027291,0.002485,0.646424,-0.028808,-0.043012,0.006541,0.073556,-0.061367,0.018317,-0.001896,186.796286,62.853552,-449.862087,551.295720,-268.818043,45.739936,2.477026,-1.045614
3.099573,-0.446580,0.223362,0.156929,0.020676,-0.207136,0.134765,-0.034347,0.003165,-0.088411,0.258827,0.003160,0.168393,-0.449470,0.297916,-0.078896,0.007466,0.602169,0.005139,-0.048601,-0.193857,0.276436,-0.176000,0.050969,-0.005366,72.770522,14.078361,-51.081900,-289.839322,512.918965,-311.303518,80.953596,-7.689799
